filename_prompt,prompt,pairwise score,holistic_score,Word_Count,WN_Zscore_CW,error_count,error_count_normed,KF_Ncats_CW,adjacent_overlap_2_noun_para_div_seg,PLD_CW,OLDF,basic_ncontent_tokens,LD_Mean_RT,COCA_fiction_Frequency_CW,adjacent_overlap_2_pronoun_para,aoe_index_above_threshold_40,Phono_N_H,lexical_density_types,OG_N_CW,COCA_fiction_tri_prop_10k,misspelling,misspelling_normed,VP_T,adjacent_overlap_2_noun_para,COCA_Fiction_Bigram_Range_Log,McD_CD,lexical_density_tokens,COCA_spoken_bi_prop_50k,adjacent_overlap_2_verb_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_2_adv_para,adjacent_overlap_all_sent_div_seg,COCA_spoken_Bigram_Range,adjacent_overlap_binary_argument_para,syn_overlap_sent_verb,error_count_z,OLDF_z,basic_ncontent_tokens_z,VP_T_z,adjacent_overlap_2_noun_para_z,PLD_CW_z,adjacent_overlap_binary_argument_para_z,error_count_normed_z
1_WPS5_A1_104_Competition_and_Cooperation.txt,competition,0.70456,4.5,220,-0.445522388,1,0.454545455,12.95121951,6,2.033082707,8.18,93,626.362,919.842973,0.857142857,3.1625,20.25909091,0.518072289,3.007462687,0.050458716,0,0,2,0.857142857,-1.361722142,0.686117371,0.465,0.497716895,0.5,0.712517922,1,2.647058824,0.119290645,1,0.411764706,-0.655646375,-2.046153607,-1.044565993,-0.688784756,2.665423587,1.72589172,0.52786369,-0.612096701
1_WPS5_A1_132_Competition_and_Cooperation.txt,competition,-0.31215,3.5,290,-0.501944444,4,1.379310345,13.5,4.5,1.701398601,8.562491349,111,618.1412414,955.9620349,0.777777778,1.93877551,24.81034483,0.603773585,4.763888889,0.107638889,2,0.689655172,3.5,0.428571429,-1.273950336,0.744727599,0.400722022,0.709342561,0.538461538,0.744936836,1,3.785714286,0.142775807,1,0.428571429,-0.124758622,1.212888418,-0.357539854,0.763371256,0.682952125,-0.58958724,0.52786369,-0.156910832
1_WPS5_A1_154_Competition_and_Cooperation.txt,competition,-1.29855,2,256,-0.539565217,8,3.125,14.08088235,0,1.642753623,8.554804688,103,618.7706641,996.239887,0,1.877777778,20.015625,0.533333333,4.282608696,0.082677165,0,0,8,0,-1.279215552,0.796358871,0.408730159,0.729411765,3,0.846036678,0,5.75,0.135837878,0,2,0.583091715,1.147393731,-0.662884805,5.119839292,-1.299519342,-0.998986455,-2.104599387,0.702348933
1_WPS5_A1_221_Competition_and_Cooperation.txt,competition,0.87348,3.5,206,-0.463934426,3,1.45631068,11.73913043,1.333333333,1.821487603,8.320505051,87,627.2254774,742.9083672,0.8,2.47311828,19.07462687,0.611650485,3.508064516,0.039215686,1,0.485436893,2.066666667,0.133333333,-1.498137774,0.986015707,0.494318182,0.468292683,0.444444444,0.649820626,1,2.5,0.092115799,0.75,0.9,-0.301721206,-0.848971325,-1.273574707,-0.624244488,-0.682750443,0.248751265,-0.130252079,-0.119009886
1_WPS5_A1_237_Competition_and_Cooperation.txt,competition,0.24052,2.5,272,-0.482967742,4,1.470588235,13.17333333,3.5,1.853870968,8.424962963,109,622.999,973.7178528,0.25,2.211009174,20.53703704,0.596638655,3.348387097,0.062962963,1,0.367647059,2.764705882,0.368421053,-1.294655362,0.900811024,0.43083004,0.601476015,0.466666667,0.754273593,0.5,3.3125,0.155078569,1,0.625,-0.124758622,0.041069001,-0.433876091,0.051530074,0.404710515,0.474818776,0.52786369,-0.111982217
1_WPS5_A2_107_Competition_and_Cooperation.txt,competition,0.08724,2.5,238,-0.511044776,1,0.420168067,13.1953125,2,1.652692308,8.530811966,100,623.2856303,739.751704,1,1.952941176,22.09663866,0.544,4.231343284,0.050847458,1,0.420168067,2.4375,0.315789474,-1.223866316,0.796710526,0.452488688,0.599156118,0.416666667,0.656801846,1,2.923076923,0.143479479,1,1.692307692,-0.655646375,0.942962207,-0.777389161,-0.265239252,0.161249107,-0.929604729,0.52786369,-0.629017868
1_WPS5_A2_134_Competition_and_Cooperation.txt,competition,0.44594,4,318,-0.511413043,2,0.628930818,13.31360947,3.5,1.847976879,8.523745928,113,622.0533648,1362.453547,0.833333333,2.050505051,22.7672956,0.518867925,3.934782609,0.101265823,0,0,2.88,0.4375,-1.211561547,0.809358108,0.38047138,0.627760252,0.722222222,0.770688905,1,4.263157895,0.161467925,1,0.842105263,-0.47868379,0.882755578,-0.281203616,0.163146771,0.724253612,0.433672279,0.52786369,-0.526261097
1_WPS5_A2_144_Competition_and_Cooperation.txt,competition,-2.41892,3,300,-0.513597561,10,3.333333333,13.05921053,5,1.709032258,8.604261168,114,621.6317333,1236.166672,1,1.814814815,24.20666667,0.531746032,4.103658537,0.124161074,6,2,5.6,0.454545455,-1.129736692,0.722833333,0.389078498,0.64548495,2,0.795430214,1,6.428571429,0.162857075,1,2.428571429,0.937016884,1.568790834,-0.243035497,2.796389673,0.803101911,-0.53629686,0.52786369,0.804894337
1_WPS5_A2_151_Competition_and_Cooperation.txt,competition,0.43328,3,312,-0.509403974,2,0.641025641,13.56375839,4.333333333,1.589403974,8.638701299,131,608.5978896,1027.18657,0.666666667,1.724489796,23.45631068,0.522727273,3.980263158,0.074193548,0,0,2.739130435,0.590909091,-1.265496801,0.588119601,0.451724138,0.704180064,1.3,0.816028361,1,3.761904762,0.164672891,1,1.19047619,-0.47868379,1.862240175,0.405822524,0.026770381,1.433888284,-1.371419103,0.52786369,-0.520307808
1_WPS5_A2_170_Competition_and_Cooperation.txt,competition,1.17429,4.5,269,-0.545337423,2,0.743494424,13.4125,4,1.686075949,8.387011494,116,621.340188,1126.932027,0.8,1.939130435,20.56015038,0.589285714,3.134969325,0.052434457,0,0,2.777777778,0.461538462,-1.318662924,0.862976,0.469635628,0.526119403,0.714285714,0.751565018,0.333333333,3.533333333,0.133503907,1,0.866666667,-0.47868379,-0.28229892,-0.166699259,0.064185029,0.83544993,-0.696554314,0.52786369,-0.469870835
1_WPS5_A2_188_Competition_and_Cooperation.txt,competition,-0.76178,3.5,269,-0.513311258,3,1.115241636,13.36111111,2.75,1.820805369,8.481348315,120,623.7665799,714.4879099,0.636363636,2.12173913,20.05947955,0.606557377,3.218543046,0.052434457,0,0,2.857142857,0.323529412,-1.362665654,0.958664093,0.46875,0.570895522,0.727272727,0.621086449,1,3.5,0.115888911,1,0.666666667,-0.301721206,0.521504002,-0.014026784,0.14101868,0.197052255,0.243988605,0.52786369,-0.286890188
1_WPS5_A2_217_Competition_and_Cooperation.txt,competition,-0.22281,3,187,-0.3923,3,1.604278075,12.01020408,0,1.914,8.41027027,82,634.5262703,787.6909819,0,3.217948718,19.20540541,0.55,4.04,0.059459459,0,0,2.545454545,0,-1.224267683,0.982357542,0.465909091,0.548387097,0.75,0.858140661,0,4.111111111,0.167039847,0,1,-0.301721206,-0.08412103,-1.464415301,-0.160728024,-1.299519342,0.894578137,-2.104599387,-0.04617768
1_WPS5_A2_239_Competition_and_Cooperation.txt,competition,-1.33789,3,250,-0.499637681,7,2.8,13.52238806,2.666666667,1.661029412,8.542642276,93,619.6288306,1123.880488,0.909090909,1.662790698,22.63709677,0.563636364,4.731884058,0.092741935,3,1.2,2.3,0.5,-1.226486557,0.776495868,0.397435897,0.654618474,0.357142857,0.766378364,1,2.8,0.154375525,1,0.2,0.406129131,1.043763121,-1.044565993,-0.398353553,1.013364033,-0.871403601,0.52786369,0.542378103
1_WPS5_A2_244_Competition_and_Cooperation.txt,competition,0.14049,4,260,-0.452360248,3,1.153846154,12.95512821,4,1.962111801,8.347413127,118,632.6371042,768.1326084,1,3.149122807,18.90733591,0.677419355,3.111801242,0.027131783,1,0.384615385,2.5,0.333333333,-1.363677388,0.89648583,0.481632653,0.528957529,0.583333333,0.658287533,1,3.384615385,0.128841184,1,1.153846154,-0.301721206,-0.619699341,-0.090363021,-0.204732752,0.242402907,1.230445491,0.52786369,-0.267888352
1_WPS5_A2_252_Competition_and_Cooperation.txt,competition,-1.75619,1.5,101,-0.561111111,11,10.89108911,14.05660377,0,1.706862745,8.374893617,40,603.5841237,1457.383923,0,1.085714286,26.33333333,0.528301887,3.839285714,0.050505051,5,4.95049505,4.166666667,0,-1.358718777,0.623252632,0.412371134,0.63,1.5,0.86822877,0,7.666666667,0.144612618,0,3,1.113979468,-0.385550067,-3.067476294,1.408773929,-1.299519342,-0.551442179,-2.104599387,4.524957315
1_WPS5_A2_270_Competition_and_Cooperation.txt,competition,1.32754,5,353,-0.487746479,0,0,13.83902439,4.666666667,1.754009434,8.36962963,162,618.8043466,899.4469436,0.9,1.744680851,21.39093484,0.6,3.771028037,0.042735043,0,0,2.782608696,0.4375,-1.424224718,0.795295977,0.489425982,0.571022727,0.7,0.748221728,1,3,0.104597758,1,1.19047619,-0.832608959,-0.430402205,1.589034209,0.06886186,0.724253612,-0.22231225,0.52786369,-0.835832128
1_WPS5_B1_111_Images_and_Impressions.txt,image,-0.63442,3,273,-0.566234568,6,2.197802198,13.85,3.5,1.618789809,8.45238806,106,624.4584615,1266.253733,0.666666667,1.429906542,23.31868132,0.584070796,3.932098765,0.084870849,0,0,2.941176471,0.35,-1.351075715,0.740026718,0.410852713,0.628676471,0.714285714,0.783639005,1,2.866666667,0.123275778,1,0.666666667,0.229166547,0.274746295,-0.548380448,0.222371958,0.319499021,-1.166277279,0.52786369,0.245965541
1_WPS5_B1_114_Images_and_Impressions.txt,image,1.06656,4.5,326,-0.537216495,3,0.920245399,13.98429319,6,1.666321244,8.489815385,130,617.7404601,1028.794111,0.833333333,1.892307692,21.25153374,0.588235294,3.979381443,0.027777778,2,0.613496933,2.291666667,0.571428571,-1.393890789,0.781085174,0.427631579,0.655384615,0.523809524,0.712145205,1,2.454545455,0.113138317,1,0.681818182,-0.301721206,0.593648214,0.367654405,-0.406421086,1.343775942,-0.834461446,0.52786369,-0.382870834
